pl,en
dom,house
człowiek,person
dzień,day
rok,year
czas,time
ręka,hand
oko,eye
życie,life
świat,world
dziecko,child
kobieta,woman
mężczyzna,man
miejsce,place
praca,work
sprawa,matter
rzecz,thing
sposób,way
problem,problem
pytanie,question
odpowiedź,answer
miasto,city
kraj,country
szkoła,school
uczeń,student
nauczyciel,teacher
rodzina,family
przyjaciel,friend
miłość,love
pieniądze,money
godzina,hour
minuta,minute
sekunda,second
droga,road
samochód,car
pociąg,train
lotnisko,airport
jedzenie,food
woda,water
kawa,coffee
herbata,tea
książka,book
film,movie
muzyka,music
język,language
komputer,computer
telefon,phone
internet,internet
zdrowie,health
choroba,illness
pogoda,weather